from,to
am,il
az,il
cz,ua
no,fi
se,fi
ee,fi
ge,am
is,fi
mt,it
nl,fi
at,fi
dk,fi
ie,fi
il,fi
cy,il
fr,am
ro,md
rs,fi
md,ua
ua,pl
au,fi
be,fi
hr,si
gr,cy
lt,fi
al,it
es,fi
fi,no
de,fi
it,md
lv,fi
pl,ua
pt,ua
sm,fi
si,hr
ch,al
gb,fi
wld,il
al,se
ee,se
fr,il
mt,se
az,se
dk,no
il,no
no,se
be,se
fi,cz
rs,hr
se,no
ch,it
gb,lt
am,fr
au,se
hr,fi
is,se
lv,lt
cz,fi
de,it
nl,be
lt,ua
ie,lt
at,hr
cy,ua
ge,ua
gr,fi
it,no
md,il
pl,fi
pt,fi
ro,fi
sm,il
si,fi
es,ua
ua,fi
wld,fi
at,it
hr,it
cy,se
dk,se
md,se
nl,se
rs,si
si,it
it,ua
lv,se
ro,se
mt,fi
ee,ua
il,ua
gr,se
se,ch
am,cy
is,no
sm,se
au,cy
az,fi
es,no
ge,fi
al,hr
be,no
cz,il
fi,au
fr,md
de,al
ie,pl
lt,pl
no,fr
pl,no
pt,md
ch,fi
ua,hr
gb,pl
wld,am
