from,to,voting_ratio
al,am,0.25
al,au,0.1666666667
al,az,0.2
al,bg,0.5
al,ch,0.5
al,cy,0.1666666667
al,ee,0.25
al,fr,0.2857142857
al,gb,0.2857142857
al,it,0.5714285714
al,mk,1
al,mt,0.3333333333
al,se,0.2857142857
am,es,0.1428571429
am,fi,0.25
am,fr,0.1428571429
am,ge,1
am,gr,0.25
am,il,0.3333333333
am,it,0.2857142857
am,md,0.4
am,mk,1
am,mt,0.3333333333
am,pt,0.4
am,se,0.4285714286
at,au,0.1666666667
at,bg,0.25
at,ch,0.5
at,de,0.1428571429
at,fi,0.25
at,fr,0.1428571429
at,gb,0.1428571429
at,il,0.1666666667
at,is,0.3333333333
at,it,0.1428571429
at,mk,1
at,mt,0.3333333333
at,nl,0.5
at,pt,0.4
at,se,0.4285714286
au,be,0.4
au,bg,0.5
au,ch,0.25
au,de,0.1428571429
au,ee,0.5
au,es,0.1428571429
au,fr,0.1428571429
au,gb,0.1428571429
au,il,0.1666666667
au,is,0.6666666667
au,lt,0.2
au,md,0.2
au,mt,0.3333333333
au,rs,0.1666666667
au,se,0.4285714286
az,al,0.5
az,bg,0.25
az,by,0.5
az,gb,0.1428571429
az,gr,0.25
az,hu,0.3333333333
az,il,0.1666666667
az,it,0.1428571429
az,md,0.4
az,mk,1
az,mt,0.3333333333
az,pt,0.2
az,rs,0.1666666667
az,ru,1
az,se,0.2857142857
az,ua,0.1666666667
ba,au,0.1666666667
ba,rs,0.1666666667
ba,ua,0.1666666667
be,at,0.5
be,au,0.1666666667
be,bg,0.25
be,ch,0.25
be,es,0.1428571429
be,fi,0.25
be,fr,0.2857142857
be,gb,0.1428571429
be,il,0.1666666667
be,is,0.3333333333
be,it,0.4285714286
be,nl,0.1666666667
be,pt,0.2
be,se,0.4285714286
be,ua,0.1666666667
bg,am,0.25
bg,at,0.5
bg,au,0.1666666667
bg,be,0.2
bg,cz,0.2
bg,es,0.1428571429
bg,gb,0.1428571429
bg,gr,0.5
bg,il,0.1666666667
