from,to,voting_ratio
al,au,0.1666666667
al,bg,0.5
al,it,1
al,cy,0.1666666667
al,ch,0.25
al,se,0.1428571429
al,pt,0.2
al,de,0.1428571429
al,ru,0.3333333333
al,sm,0.5
al,gr,0.5
al,ua,0.1666666667
al,hr,0.3333333333
am,ua,0.3333333333
am,ru,0.6666666667
am,ge,1
am,pt,0.2
am,il,0.3333333333
am,es,0.1428571429
am,fr,0.2857142857
am,cy,0.5
am,cz,0.2
am,nl,0.1666666667
am,ch,0.25
am,ee,0.25
at,ua,0.3333333333
at,ru,0.3333333333
at,pl,0.25
at,pt,0.2
at,ch,0.25
at,is,0.3333333333
at,gb,0.1428571429
at,fi,0.25
at,it,0.5714285714
at,be,0.2
at,ro,0.5
at,cz,0.2
at,rs,0.5
at,no,0.1666666667
at,hr,0.3333333333
au,ua,0.5
au,bg,0.25
au,be,0.2
au,md,0.2
au,se,0.2857142857
au,is,0.6666666667
au,mt,0.3333333333
au,rs,0.1666666667
au,ro,0.5
au,dk,0.6666666667
au,il,0.1666666667
au,ie,1
au,no,0.3333333333
au,fi,0.25
au,cy,0.1666666667
az,ua,0.6666666667
az,ru,0.6666666667
az,bg,0.5
az,pt,0.2
az,md,0.2
az,gb,0.1428571429
az,se,0.1428571429
az,il,0.5
az,cy,0.1666666667
az,ch,0.25
az,sm,0.5
az,it,0.1428571429
az,es,0.1428571429
az,fi,0.25
ba,az,0.2
ba,hr,0.3333333333
ba,rs,0.1666666667
be,pl,0.25
be,nl,0.8333333333
be,fr,0.5714285714
be,pt,0.2
be,bg,0.25
be,it,0.2857142857
be,ua,0.3333333333
be,se,0.1428571429
be,il,0.1666666667
be,md,0.2
be,fi,0.25
be,no,0.1666666667
bg,ua,0.3333333333
bg,ru,0.3333333333
bg,am,0.25
bg,it,0.1428571429
bg,es,0.1428571429
bg,md,0.4
bg,ro,0.5
bg,fr,0.2857142857
bg,il,0.1666666667
bg,cy,0.1666666667
bg,fi,0.25
bg,rs,0.1666666667
by,ua,0.3333333333
by,az,0.2
by,ru,0.6666666667
by,md,0.2
by,hu,0.3333333333
by,bg,0.25
by,no,0.3333333333
by,il,0.1666666667
by,nl,0.1666666667
