country_id,nr_part,pdi,idv,mas,uai,ltowvs,ivr,language
al,4,90,27,80,70,56,15,Albanian
am,4,85,17,50,88,38,25,Caucasian
at,4,11,77,79,70,47,63,Germanic
au,6,38,73,61,51,56,71,Germanic
az,5,85,28,50,88,59,22,Turkic
be,5,65,81,54,94,61,57,Germanic
bg,4,70,50,40,85,51,16,Slavic
by,2,95,48,20,95,53,15,Slavic
ch,4,34,79,70,58,42,66,Germanic
cy,6,75,42,58,115,59,70,Hellenic
cz,5,57,70,57,74,51,29,Slavic
de,7,35,79,66,65,57,40,Germanic
dk,3,18,89,16,23,59,70,Germanic
ee,4,40,62,30,60,71,16,Uralic
es,7,57,67,42,86,47,44,Romance
fi,4,33,75,26,59,63,57,Uralic
fr,7,68,74,43,86,60,48,Romance
gb,7,35,76,66,35,60,69,Germanic
ge,1,65,15,55,85,24,32,Caucasian
gr,4,60,59,57,100,51,50,Hellenic
hr,3,73,42,40,80,40,33,Slavic
hu,3,46,71,88,82,45,31,Uralic
ie,1,28,58,68,35,51,65,Germanic
il,6,13,56,47,81,47,,Semitic
is,3,30,83,10,50,57,67,Germanic
it,7,50,53,70,75,39,30,Romance
lt,5,42,55,19,65,49,16,Baltic
lv,1,44,70,9,63,69,13,Baltic
md,5,90,27,39,95,71,19,Romance
mk,1,90,40,45,87,35,35,Slavic
mt,3,56,59,47,96,47,66,Semitic
nl,6,38,100,14,53,67,68,Germanic
no,6,31,81,8,50,55,55,Germanic
pl,4,68,47,64,93,49,29,Slavic
pt,5,63,59,31,99,42,33,Romance
ro,2,90,46,42,90,32,20,Romance
rs,6,86,42,43,92,37,28,Slavic
ru,3,93,46,36,95,58,20,Slavic
se,7,31,87,5,29,52,78,Germanic
si,3,71,81,19,88,50,48,Slavic
sm,2,50,53,70,75,39,30,Romance
ua,6,92,55,27,95,51,14,Slavic
