country_id,country_name,count,pdi,idv,mas,uai,ltowvs,ivr
al,Albania,19,,,,,61.0,15.0
am,Armenia,15,,,,,61.0,
at,Austria,55,11.0,55.0,79.0,70.0,60.0,63.0
az,Azerbaijan,14,,,,,61.0,22.0
ba,Bosnia & Herzegovina,19,,,,,70.0,44.0
be,Belgium,63,65.0,75.0,54.0,94.0,82.0,57.0
bg,Bulgaria,14,70.0,30.0,40.0,85.0,69.0,16.0
by,Belarus,16,,,,,81.0,15.0
ch,Switzerland,62,34.0,68.0,70.0,58.0,74.0,66.0
cy,Cyprus,39,,,,,,70.0
cz,Czech Republic,11,57.0,58.0,57.0,74.0,70.0,29.0
de,Germany,65,35.0,67.0,66.0,65.0,83.0,40.0
dk,Denmark,50,18.0,74.0,16.0,23.0,35.0,70.0
ee,Estonia,28,40.0,60.0,30.0,60.0,82.0,16.0
es,Spain,62,57.0,51.0,42.0,86.0,48.0,44.0
fi,Finland,56,33.0,63.0,26.0,59.0,38.0,57.0
fr,France,64,68.0,71.0,43.0,86.0,63.0,48.0
gb,United Kingdom,65,35.0,89.0,66.0,35.0,51.0,69.0
ge,Georgia,14,,,,,38.0,32.0
gr,Greece,42,60.0,35.0,57.0,112.0,45.0,50.0
hr,Croatia,28,73.0,33.0,40.0,80.0,58.0,33.0
hu,Hungary,17,46.0,80.0,88.0,82.0,58.0,31.0
ie,Ireland,55,28.0,70.0,68.0,35.0,24.0,65.0
il,Israel,45,,,,,,
is,Iceland,34,,,,,28.0,67.0
it,Italy,47,50.0,76.0,70.0,75.0,61.0,30.0
lt,Lithuania,23,42.0,60.0,19.0,65.0,82.0,16.0
lu,Luxembourg,36,40.0,60.0,50.0,70.0,64.0,56.0
lv,Latvia,22,44.0,70.0,9.0,63.0,69.0,13.0
mc,Monaco,24,,,,,,
md,Moldova,18,,,,,71.0,19.0
me,Montenegro,12,,,,,75.0,20.0
mk,North Macedonia,21,,,,,62.0,35.0
mt,Malta,34,56.0,59.0,47.0,96.0,47.0,66.0
nl,Netherlands,61,38.0,80.0,14.0,53.0,67.0,68.0
no,Norway,61,31.0,69.0,8.0,50.0,35.0,55.0
pl,Poland,25,68.0,60.0,64.0,93.0,38.0,29.0
pt,Portugal,54,63.0,27.0,31.0,104.0,28.0,33.0
ro,Romania,22,90.0,30.0,42.0,90.0,52.0,20.0
rs,Serbia,15,86.0,25.0,43.0,92.0,52.0,28.0
ru,Russia,23,93.0,39.0,36.0,95.0,81.0,20.0
se,Sweden,62,31.0,71.0,5.0,29.0,53.0,78.0
si,Slovenia,28,71.0,27.0,19.0,88.0,49.0,48.0
sm,San Marino,12,,,,,,
tr,Turkey,34,66.0,37.0,45.0,85.0,46.0,49.0
ua,Ukraine,18,,,,,86.0,14.0
